network,station,latitude,longitude,elevation
CI,WOR,35.69563,-118.24246,795
CI,WRC2,35.94790,-117.65038,943
CI,WRV2,36.00774,-117.89040,1070
CI,WSS,34.17170,-118.64971,316
CI,WTT2,33.94867,-118.25539,37
CI,WVP2,35.94939,-117.81769,1465
CI,WWC,33.94068,-116.40876,619
CI,WWF,33.27884,-115.57888,-61
CI,YEG2,35.43831,-119.96306,963
CI,YUC,34.19675,-116.40576,1077
CI,YUH2,32.64752,-115.92227,184
GS,CA07,35.79059,-117.35803,505
GS,CA08,35.76920,-117.37560,509
GS,CA09,35.62155,-117.67235,699
GS,CA10,35.56736,-117.66743,835
NC,BBGB,36.57848,-121.03957,1089
NC,BSG,36.41381,-121.25518,160
NC,MCS,37.65487,-118.90576,2417
NC,MDPB,37.63227,-119.07935,2360
NC,MMT,37.37604,-119.17962,2714
NC,MTU,37.35316,-118.56326,1792
NC,MYL,37.38349,-120.42052,57
NC,PBIB,35.16140,-120.47517,522
NC,PBM,35.39445,-120.35390,1049
NC,PCC,36.08977,-121.16361,372
NC,PHOB,35.86661,-120.47961,796
NC,PHSB,35.82404,-121.05393,475
NC,PJU,36.22697,-120.59352,925
NC,PKE,36.06103,-120.10963,244
NC,PKY,35.26401,-120.66667,101
NC,PML,34.89472,-120.60927,468
NC,PMPB,36.21590,-120.80126,802
NC,PSAB,36.02486,-120.88927,150
NC,PSM,36.06881,-120.59618,957
NC,PWM,36.43268,-120.21236,45
NN,BEN,37.71540,-118.57410,2476
NN,BHP,37.30000,-118.48830,2171
NN,CAS,37.57570,-118.55390,2295
NN,DSP,37.36800,-117.97220,1692
NN,GMN,37.30030,-117.26070,2168
NN,GWY,36.18600,-116.66980,1538
NN,LCH,37.23290,-117.64590,1414
NN,MIL,38.02470,-118.18680,2030
NN,POC,37.36220,-118.28010,1799
NN,QSM,35.96500,-116.86910,385
NN,RRK,36.06560,-115.46680,1193
NN,SHP,36.50470,-115.15670,1632
NN,WLDB,36.79270,-116.62660,955
NP,1041,34.99770,-119.48580,837
NP,1041,34.99771,-119.48584,837
NP,286,32.95477,-115.82430,218
NP,5030,34.52149,-117.99099,856
NP,5036,34.19260,-117.42744,618
NP,5053,32.66950,-115.49250,2
NP,5054,32.69323,-115.33819,9
NP,5056,32.95977,-115.32021,-3
NP,5058,32.75172,-115.59516,-6
NP,5062,33.17747,-115.61564,-64
NP,5080,34.07834,-118.69391,413
NP,5081,34.08377,-118.59900,203
NP,5230,33.56809,-116.51176,1387
NP,5231,33.45931,-116.64423,1331
NP,5241,33.51237,-116.80035,1043
NP,5271,33.35262,-115.73325,-96
NP,5272,32.70810,-115.09256,38
NP,5288,33.69729,-118.02485,1
NP,5330,34.10348,-117.34895,364
NP,5337,34.14003,-117.29392,364
NP,5371,34.20588,-117.36710,567
NP,5375,33.15569,-116.16790,117
NP,5402,34.07618,-118.39590,39
NP,5403,34.39697,-119.29874,124
NP,5409,34.23396,-117.48244,840
NP,5419,35.64906,-117.66187,690
NP,5422,34.18504,-118.44698,216
NP,5425,34.27718,-118.55965,362
NP,5430,33.19814,-117.37824,25
NP,5431,34.21860,-118.86804,249
NP,5434,34.08480,-118.86379,413
NP,5442,34.04905,-116.94032,1533
NP,5444,33.63461,-116.09534,-10
NP,5480,34.70312,-118.42573,942
NP,5481,34.59930,-118.45375,918
NP,5491,32.82288,-116.52931,1129
NP,5492,34.20011,-118.36044,223
NP,5494,32.95861,-116.57937,1486
NP,5499,33.94046,-118.42066,30
PB,B079,35.71570,-120.20570,436
PB,B081,33.71117,-116.71417,1467
PB,B082,33.59818,-116.59601,1374
PB,B084,33.61157,-116.45637,1271
PB,B086,33.55750,-116.53100,1392
PB,B087,33.49550,-116.60267,1139
PB,B093,33.59369,-116.76410,1229
PB,B900,35.68600,-120.00300,219
PB,B901,35.68970,-120.14200,275
PB,B916,36.19250,-117.66850,1859
PB,B917,35.40530,-117.25880,1192
PB,B918,35.93570,-117.60170,1042
PB,B921,35.58650,-117.46220,694
PG,BLD,35.53383,-120.90667,457
PG,DCD,35.21217,-120.84084,238
PG,DPD,35.23300,-120.78167,488
PG,EFD,35.32050,-120.72500,95
PG,MLD,35.32250,-120.60250,762
PG,NPD,35.08633,-120.47250,452
PG,PBD,35.70900,-121.27150,183
PG,PSD,34.90217,-120.62167,378
PG,VPD,35.23990,-120.86900,435
SB,BVDA,33.32673,-116.36714,232
SB,CPSLO,35.30211,-120.66716,88
SB,GVDA,33.66890,-116.67380,1341
SB,WLA,33.09760,-115.53060,-61
SN,AMD,36.45260,-116.28180,775
SN,HEL,36.72460,-116.97590,747
SN,LEC,36.56270,-116.69050,1113
SN,PUV,36.94940,-115.96420,1253
SN,SGR,36.98040,-117.03360,1560
SN,TIM,37.06670,-116.47030,1871
SN,TPW,36.90160,-116.25280,1573
SN,TWP,37.20470,-116.12430,1576
SN,TYM,37.14400,-116.72170,1457
WR,CSP,34.29796,-117.35833,1239
WR,FRI,36.99200,-119.70800,119
WR,PEC,33.89198,-117.16135,582
